Conditon,VAR,TYPE,Average,Upper,Lower
Healthy,CV,ERROR,0.021625735,0.032432744,0.010818726
Healthy,OE,ERROR,0.043345944,0.056026031,0.030665858
Healthy,PURE,ERROR,0.03248584,0.041344152,0.023627527
Healthy,ALT_SWITCH,ERROR,0.051259511,0.069570057,0.032948965
Healthy,ALT_NS,ERROR,0.036256278,0.049636774,0.022875782
Healthy,RAND_SWITCH,ERROR,0.053263189,0.07022989,0.036296488
Healthy,RAND_NS,ERROR,0.028400573,0.0417964,0.015004746
Healthy,ALT_GLOBAL,ERROR,0.003770439,0.015923527,-0.00838265
Healthy,RAND_GLOBAL,ERROR,-0.004085267,0.007022669,-0.015193202
Healthy,ALT_LOCAL,ERROR,0.015003233,0.027110692,0.002895773
Healthy,RAND_LOCAL,ERROR,0.024862616,0.038092145,0.011633087
Healthy,CV,RT,908.0808421,998.8875804,817.2741038
Healthy,OE,RT,1005.615533,1111.202653,900.0284126
Healthy,PURE,RT,956.8481873,1042.909454,870.7869209
Healthy,ALT_SWITCH,RT,2135.251644,2374.369875,1896.133413
Healthy,ALT_NS,RT,2063.871224,2311.985105,1815.757343
Healthy,RAND_SWITCH,RT,2218.572678,2460.391509,1976.753847
Healthy,RAND_NS,RT,1947.590225,2159.260771,1735.91968
Healthy,ALT_GLOBAL,RT,1107.023036,1309.78432,904.2617531
Healthy,RAND_GLOBAL,RT,990.7420379,1159.659489,821.8245872
Healthy,ALT_LOCAL,RT,71.38042055,140.6129941,2.147846966
Healthy,RAND_LOCAL,RT,270.9824528,353.2242253,188.7406804
Healthy,CV,ZRT,-0.44155084,-0.391214256,-0.491887423
Healthy,OE,ZRT,-0.387229265,-0.328442192,-0.446016337
Healthy,PURE,ZRT,-0.414390052,-0.366609188,-0.462170916
Healthy,ALT_SWITCH,ZRT,0.243090365,0.376315949,0.109864781
Healthy,ALT_NS,ZRT,0.203192553,0.341404955,0.064980151
Healthy,RAND_SWITCH,ZRT,0.289570098,0.424392081,0.154748114
Healthy,RAND_NS,ZRT,0.138386315,0.256345933,0.020426697
Healthy,ALT_GLOBAL,ZRT,0.617582605,0.730650282,0.504514928
Healthy,RAND_GLOBAL,ZRT,0.552776367,0.647187707,0.458365027
Healthy,ALT_LOCAL,ZRT,0.039897812,0.078628796,0.001166828
