"bin","Trial_Type","Average","Upper","Lower"
1,"alt_ns",783.141039609579,812.382322604527,753.89975661463
2,"alt_ns",944.12006866417,984.523273371225,903.716863957115
3,"alt_ns",1105.49085518102,1161.20787249534,1049.77383786671
4,"alt_ns",1299.07103620474,1373.15519321663,1224.98687919285
5,"alt_ns",1597.41345193508,1697.52453619087,1497.30236767929
6,"alt_ns",2320.54965667915,2495.43809955552,2145.66121380278
1,"alt_switch",873.975263064027,912.680355250024,835.27017087803
2,"alt_switch",1058.61968967362,1104.53721970925,1012.70215963799
3,"alt_switch",1211.45437399679,1264.03244535322,1158.87630264036
4,"alt_switch",1395.34040485108,1459.39665326776,1331.2841564344
5,"alt_switch",1685.51490101659,1776.24049859832,1594.78930343485
6,"alt_switch",2350.25205100767,2518.0011993593,2182.50290265604
1,"pure",453.225983454391,467.760126309878,438.691840598905
2,"pure",519.301235123656,536.299740341907,502.302729905405
3,"pure",569.923371323893,589.809914949266,550.036827698521
4,"pure",632.155663212297,658.324572608539,605.986753816055
5,"pure",733.371742168355,772.006182431564,694.737301905147
6,"pure",1163.05108537986,1260.65713988015,1065.44503087957
1,"rand_ns",758.185018726592,782.322230633975,734.047806819209
2,"rand_ns",902.385393258427,939.144333148983,865.626453367871
3,"rand_ns",1034.02759051186,1086.56315214291,981.492028880808
4,"rand_ns",1209.56495006242,1278.57527818025,1140.55462194459
5,"rand_ns",1501.15764669164,1593.54250447642,1408.77278890685
6,"rand_ns",2240.01107990012,2413.23058068119,2066.79157911906
1,"rand_switch",900.998013846328,944.279349186242,857.716678506415
2,"rand_switch",1091.24581772784,1146.70504118702,1035.78659426866
3,"rand_switch",1251.00165418227,1318.8355233075,1183.16778505704
4,"rand_switch",1443.23342696629,1525.6423434575,1360.82451047509
5,"rand_switch",1725.04101123596,1829.68532483511,1620.3966976368
6,"rand_switch",2385.16307740325,2556.12588552552,2214.20026928097
