"Subject","bin","type","mean"
2029,3,"alt_local",244.333333333333
2031,3,"alt_local",85.6999999999998
2032,3,"alt_local",119.744444444444
2001,4,"alt_local",882.8
2002,4,"alt_local",912.333333333333
2003,4,"alt_local",-129.946428571429
2004,4,"alt_local",-145.027777777778
2006,4,"alt_local",-50.7888888888888
2007,4,"alt_local",-95.1111111111113
2009,4,"alt_local",-54.9583333333334
2010,4,"alt_local",-2.13333333333333
2011,4,"alt_local",225.285714285714
2012,4,"alt_local",101.8
2015,4,"alt_local",-213.111111111111
2016,4,"alt_local",38.6666666666666
2017,4,"alt_local",258.866666666667
2019,4,"alt_local",125.222222222222
2020,4,"alt_local",-106.142857142857
2021,4,"alt_local",-163.375
2022,4,"alt_local",-274.522222222222
2023,4,"alt_local",89.0666666666668
2024,4,"alt_local",1425.61111111111
2025,4,"alt_local",-349.188888888889
2026,4,"alt_local",401.888888888889
2027,4,"alt_local",28.333333333333
2028,4,"alt_local",192.111111111111
2029,4,"alt_local",-13.3333333333335
2031,4,"alt_local",244.188888888889
2032,4,"alt_local",160.222222222222
2001,5,"alt_local",1250.93333333333
2002,5,"alt_local",386.375
2003,5,"alt_local",-233.446428571429
2004,5,"alt_local",-269.625
2006,5,"alt_local",7.27777777777783
2007,5,"alt_local",-96.5972222222222
2009,5,"alt_local",-140.875
2010,5,"alt_local",22.4285714285714
2011,5,"alt_local",445.142857142857
2012,5,"alt_local",37.3
2015,5,"alt_local",-138.444444444445
2016,5,"alt_local",78
2017,5,"alt_local",26.6666666666665
2019,5,"alt_local",58.25
2020,5,"alt_local",-219.761904761905
2021,5,"alt_local",141.875
2022,5,"alt_local",-493.311111111111
2023,5,"alt_local",41.8888888888889
2024,5,"alt_local",1694.51388888889
2025,5,"alt_local",-443.041666666667
2026,5,"alt_local",480.333333333333
2027,5,"alt_local",113
2028,5,"alt_local",380.666666666667
2029,5,"alt_local",187.777777777778
2031,5,"alt_local",541.722222222222
2032,5,"alt_local",-10.6111111111113
2001,6,"alt_local",1548.06666666667
2002,6,"alt_local",252.742857142857
2003,6,"alt_local",-414.392857142857
2004,6,"alt_local",-257.666666666667
2006,6,"alt_local",-173.022222222222
2007,6,"alt_local",100.513888888889
2009,6,"alt_local",-610.958333333333
2010,6,"alt_local",-451.285714285714
2011,6,"alt_local",-420.142857142858
2012,6,"alt_local",328.166666666667
2015,6,"alt_local",-642.111111111111
2016,6,"alt_local",242.333333333333
2017,6,"alt_local",-1021.40277777778
2019,6,"alt_local",283
2020,6,"alt_local",-980.928571428571
2021,6,"alt_local",-810.75
2022,6,"alt_local",-113.888888888889
2023,6,"alt_local",113.666666666667
2024,6,"alt_local",1550.01388888889
2025,6,"alt_local",-617.5
2026,6,"alt_local",709
2027,6,"alt_local",-62
2028,6,"alt_local",623.555555555556
2029,6,"alt_local",75.1111111111104
2031,6,"alt_local",806.444444444444
2032,6,"alt_local",-569.222222222223
2001,1,"rand_global",380.514492753623
2002,1,"rand_global",235.481481481481
2003,1,"rand_global",-361.47619047619
2004,1,"rand_global",482.86875
2006,1,"rand_global",272.08125
2007,1,"rand_global",792.077419354839
2009,1,"rand_global",-31.0582010582011
2010,1,"rand_global",13.984126984127
2011,1,"rand_global",625.637931034483
2012,1,"rand_global",496.561290322581
2015,1,"rand_global",566.23125
2016,1,"rand_global",-150.967741935484
2017,1,"rand_global",397.30625
2019,1,"rand_global",303.988505747127
2020,1,"rand_global",-10.3824884792627
2021,1,"rand_global",411.777777777778
2022,1,"rand_global",670.675
2023,1,"rand_global",647.826704545455
2024,1,"rand_global",265.64224137931
2025,1,"rand_global",729.55
2026,1,"rand_global",322.554838709677
2027,1,"rand_global",659.232258064516
2028,1,"rand_global",818.625806451613
2029,1,"rand_global",488.91935483871
2031,1,"rand_global",426.79375
2032,1,"rand_global",509
2001,2,"rand_global",719.594202898551
2002,2,"rand_global",210.277777777778
2003,2,"rand_global",-581.296296296296
2004,2,"rand_global",692.412186379928
2006,2,"rand_global",440.690972222222
2007,2,"rand_global",1129.84229390681
2009,2,"rand_global",-26.3901098901099
2010,2,"rand_global",9.1269841269841
2011,2,"rand_global",805.455172413793
2012,2,"rand_global",657.687096774193
2015,2,"rand_global",660.803225806452
2016,2,"rand_global",-191.877419354839
2017,2,"rand_global",488.648387096774
2019,2,"rand_global",365.567049808429
2020,2,"rand_global",-14.7603686635945
2021,2,"rand_global",462.996031746032
2022,2,"rand_global",884.1
2023,2,"rand_global",763.59375
2024,2,"rand_global",624.943965517241
2025,2,"rand_global",1080.7
2026,2,"rand_global",348.264516129032
2027,2,"rand_global",1005.21935483871
2028,2,"rand_global",947.554838709677
2029,2,"rand_global",557.6
2031,2,"rand_global",471.775
2032,2,"rand_global",651.833333333333
2001,3,"rand_global",981.539130434783
2002,3,"rand_global",250.055555555556
2003,3,"rand_global",-804.306878306878
2004,3,"rand_global",933.917562724014
2006,3,"rand_global",414.486111111111
2007,3,"rand_global",1340.54838709677
2009,3,"rand_global",6.02564102564088
2010,3,"rand_global",-2.71428571428567
2011,3,"rand_global",1043.41724137931
2012,3,"rand_global",764.1
2015,3,"rand_global",714.551612903226
2016,3,"rand_global",-216.851612903226
2017,3,"rand_global",558.698924731183
2019,3,"rand_global",409.655172413793
2020,3,"rand_global",2.80184331797238
2021,3,"rand_global",707.296296296296
2022,3,"rand_global",1169.93125
2023,3,"rand_global",903.661290322581
2024,3,"rand_global",1031.92672413793
2025,3,"rand_global",1389.67025089606
2026,3,"rand_global",365.116129032258
2027,3,"rand_global",1354.14516129032
2028,3,"rand_global",1038.0935483871
2029,3,"rand_global",640.433333333333
2031,3,"rand_global",508.912903225806
2032,3,"rand_global",945.322222222222
2001,4,"rand_global",1456.9652173913
2002,4,"rand_global",318.111111111111
2003,4,"rand_global",-1137.90476190476
2004,4,"rand_global",1395.67741935484
2006,4,"rand_global",572.732638888889
2007,4,"rand_global",1438.06810035842
2009,4,"rand_global",-21.8333333333333
2010,4,"rand_global",-1.8986175115208
2011,4,"rand_global",1540.63793103448
2012,4,"rand_global",781.559139784946
2015,4,"rand_global",701.174193548387
2016,4,"rand_global",-234
2017,4,"rand_global",664.498207885305
2019,4,"rand_global",526.534482758621
2020,4,"rand_global",6.57526881720435
2021,4,"rand_global",1030.16666666667
2022,4,"rand_global",1338.27419354839
2023,4,"rand_global",1079.4935483871
2024,4,"rand_global",1315.60714285714
2025,4,"rand_global",1754.48387096774
2026,4,"rand_global",506.060931899642
2027,4,"rand_global",1565.85555555556
2028,4,"rand_global",1070.87096774194
2029,4,"rand_global",715.333333333333
2031,4,"rand_global",762.561290322581
2032,4,"rand_global",1099.8
2001,5,"rand_global",992.417391304348
2002,5,"rand_global",291.055555555556
