"parameter","Average","Upper","Lower","Trial_Type"
"mu",643.850577812517,899.172508729407,388.528646895626,"alt_global"
"sigma",92.3722547687546,179.264354132525,5.48015540498406,"alt_global"
"tau",466.039860227388,547.42683169927,384.652888755506,"alt_global"
"mu",-226.855469219098,28.4664616977926,-482.177400135989,"alt_local"
"sigma",-95.3869506692431,-8.49485130547261,-182.279050033014,"alt_local"
"tau",155.479063098325,236.866034570207,74.0920916264436,"alt_local"
"mu",570.141727337682,825.463658254573,314.819796420792,"rand_global"
"sigma",113.767032210418,200.659131574188,26.874932846647,"rand_global"
"tau",421.919049062268,503.30602053415,340.532077590386,"rand_global"
"mu",-408.723208292425,-153.401277375534,-664.045139209315,"rand_local"
"sigma",-128.049184584607,-41.1570852208361,-214.941283948377,"rand_local"
"tau",136.161511536531,217.548483008412,54.7745400646487,"rand_local"
