"bin","Trial_Type","Average","Upper","Lower"
1,"rand_local",145.500549450549,220.418686305462,70.5824125956373
2,"rand_local",222.935683760684,314.348617945405,131.522749575962
3,"rand_local",277.271947496948,389.095119759922,165.448775233973
4,"rand_local",280.309783272283,415.914657778705,144.704908765862
5,"rand_local",273.713232600733,431.905112183655,115.52135301781
6,"rand_local",97.9778083028083,330.703034064232,-134.747417458615
1,"alt_local",137.880677655678,190.059201335702,85.7021539756531
2,"alt_local",190.751816239316,295.953200720783,85.5504317578492
3,"alt_local",173.695726495726,300.957875658633,46.4335773328195
4,"alt_local",134.182982295482,286.917961012342,-18.5519964213778
5,"alt_local",148.01684981685,330.408549884989,-34.3748502512891
6,"alt_local",-19.7175824175825,240.857454382005,-280.29261921717
1,"rand_global",383.209456057545,497.528168105229,268.890744009862
2,"rand_global",506.321613280042,664.593328098361,348.049898461724
3,"rand_global",632.708981342803,837.625962163418,427.792000522188
4,"rand_global",778.669403825538,1037.46800221895,519.870805432125
5,"rand_global",941.654632222979,1265.49557369909,617.813690746865
6,"rand_global",1193.99513611506,1621.89388807187,766.096384158254
1,"alt_global",467.116407439497,604.42447760821,329.808337270783
2,"alt_global",666.410517431446,862.746505085251,470.074529777641
3,"alt_global",858.670626641948,1118.73278662729,598.608466656605
4,"alt_global",1094.36661078524,1422.42036738922,766.312854181268
5,"alt_global",1256.57413771748,1652.07564390407,861.072631530904
6,"alt_global",1423.21281010774,1926.47768057968,919.947939635799
