"bin","Trial_Type","Average","Upper","Lower"
1,"alt_ns",1124.71961233211,1259.6754629667,989.763761697521
2,"alt_ns",1448.60088522589,1646.53890498991,1250.66286546186
3,"alt_ns",1751.89792429792,2016.69641582328,1487.09943277257
4,"alt_ns",2118.12535103785,2454.82894485782,1781.42175721788
5,"alt_ns",2553.84096459096,2967.34955306251,2140.33237611942
6,"alt_ns",3683.08772893773,4202.0169021169,3164.15855575856
1,"alt_switch",1262.60028998779,1417.38023107001,1107.82034890557
2,"alt_switch",1639.3527014652,1879.58267316204,1399.12272976836
3,"alt_switch",1925.59365079365,2251.04142094958,1600.14588063772
4,"alt_switch",2252.30833333333,2654.99647697216,1849.62018969451
5,"alt_switch",2701.85781440781,3192.63666943761,2211.07895937802
6,"alt_switch",3663.37014652015,4247.26563824976,3079.47465479054
1,"pure",657.603204892616,717.456819929462,597.749589855769
2,"pure",782.190367794439,861.528019197233,702.852716391645
3,"pure",893.227297655976,991.966023717449,794.488571594503
4,"pure",1023.75874025261,1150.73103120341,896.786449301798
5,"pure",1297.26682687348,1510.23261834076,1084.3010354062
6,"pure",2259.87491882999,2636.93000813022,1882.81982952976
1,"rand_ns",1040.81266095016,1151.16604830636,930.459273593965
2,"rand_ns",1288.51198107448,1441.19976279163,1135.82419935733
3,"rand_ns",1525.93627899878,1724.14457318609,1327.72798481147
4,"rand_ns",1802.42814407814,2054.67299441546,1550.18329374082
5,"rand_ns",2238.92145909646,2555.72482800731,1922.11809018561
6,"rand_ns",3453.87005494506,3882.06237791294,3025.67773197717
1,"rand_switch",1186.31321040071,1327.4753671059,1045.15105369552
2,"rand_switch",1511.44766483516,1706.55570632873,1316.3396233416
3,"rand_switch",1803.20822649573,2049.35996522465,1557.05648776681
4,"rand_switch",2082.73792735043,2377.86867440171,1787.60718029914
5,"rand_switch",2512.63469169719,2887.24012898508,2138.02925440931
6,"rand_switch",3551.84786324786,4053.45820253055,3050.23752396518
