"bin","Trial_Type","Average","Upper","Lower"
1,"alt_ns",1180.68411896745,1342.46476894769,1018.90346898721
2,"alt_ns",1462.56435185185,1693.70461544117,1231.42408826253
3,"alt_ns",1709.36131822612,1967.70420041267,1451.01843603957
4,"alt_ns",2001.34937053281,2286.83896843722,1715.85977262841
5,"alt_ns",2465.31182586095,2784.94496981675,2145.67868190515
6,"alt_ns",3709.62293697206,4069.94063994049,3349.30523400363
1,"alt_switch",1317.68132716049,1467.09390772931,1168.26874659168
2,"alt_switch",1631.72052469136,1830.3174970278,1433.12355235491
3,"alt_switch",1867.02731887589,2086.87111549936,1647.18352225242
4,"alt_switch",2124.76305636777,2394.84984003489,1854.67627270065
5,"alt_switch",2493.27842755036,2803.2667746184,2183.29008048231
6,"alt_switch",3547.34082602339,3915.14121104918,3179.5404409976
1,"pure",581.282273029459,619.312402956039,543.252143102878
2,"pure",677.593917931054,724.464201279479,630.723634582629
3,"pure",758.882974159388,817.551651161709,700.214297157068
4,"pure",863.76892055702,941.902579587589,785.635261526452
5,"pure",1036.94495715976,1143.31204038524,930.577873934279
6,"pure",1822.79436765588,2033.47099032755,1612.11774498421
1,"rand_ns",1077.74313271605,1170.72576140337,984.760504028725
2,"rand_ns",1350.01203703704,1510.23264288237,1189.79143119171
3,"rand_ns",1593.14179662118,1796.29495522512,1389.98863801724
4,"rand_ns",1911.8349525434,2167.41746976695,1656.25243531984
5,"rand_ns",2359.72439199851,2653.54108338058,2065.90770061645
6,"rand_ns",3566.6110101643,3914.44747157738,3218.77454875122
1,"rand_switch",1359.55264249639,1518.69590900134,1200.40937599144
2,"rand_switch",1696.62632275132,1910.0424923092,1483.21015319344
3,"rand_switch",1944.79216675949,2182.6192733214,1706.96506019759
4,"rand_switch",2212.12743026548,2476.27577839678,1947.97908213417
5,"rand_switch",2628.97213345865,2936.51864115376,2321.42562576353
6,"rand_switch",3598.88012276061,3926.06956330586,3271.69068221535
