"ID","trial","parameter","Score"
1,"pure","mu",355.999781516107
2,"pure","mu",478.05756153599
3,"pure","mu",426.432866375506
4,"pure","mu",598.266110803032
5,"pure","mu",453.362072179624
6,"pure","mu",596.994410088305
7,"pure","mu",490.18750189785
8,"pure","mu",655.146178503924
9,"pure","mu",412.888241947979
10,"pure","mu",431.609250051203
11,"pure","mu",387.339050541642
12,"pure","mu",461.908742231145
13,"pure","mu",495.7966065809
14,"pure","mu",411.659803131746
16,"pure","mu",493.746849935657
17,"pure","mu",410.498366186191
19,"pure","mu",551.752811435278
20,"pure","mu",597.907842304044
21,"pure","mu",412.317089460677
22,"pure","mu",514.610676937767
23,"pure","mu",421.33920885094
24,"pure","mu",546.813988202128
25,"pure","mu",454.507395316883
26,"pure","mu",429.508432752892
27,"pure","mu",345.870638695293
28,"pure","mu",523.157756859974
29,"pure","mu",413.377370947249
30,"pure","mu",340.009911395648
31,"pure","mu",487.807590834484
34,"pure","mu",479.079865299614
35,"pure","mu",347.338309685574
37,"pure","mu",529.901569520414
38,"pure","mu",448.659373732197
39,"pure","mu",324.067075887448
40,"pure","mu",451.87664629901
43,"pure","mu",410.367378822377
44,"pure","mu",343.15461960216
45,"pure","mu",406.364033927902
46,"pure","mu",391.938890145045
47,"pure","mu",438.954904581259
50,"pure","mu",343.21826275584
51,"pure","mu",436.051813522672
53,"pure","mu",399.352699963106
54,"pure","mu",406.944272221423
55,"pure","mu",456.336753379478
56,"pure","mu",422.941734527006
57,"pure","mu",361.523932996582
58,"pure","mu",448.342171674531
59,"pure","mu",528.171504334132
60,"pure","mu",371.407762247903
61,"pure","mu",435.405766050016
62,"pure","mu",489.624015098251
63,"pure","mu",422.150027646978
64,"pure","mu",425.089272494089
65,"pure","mu",452.51344626032
66,"pure","mu",452.351333545835
67,"pure","mu",423.399401777169
69,"pure","mu",418.129653218395
70,"pure","mu",379.170965983244
71,"pure","mu",534.889263657895
72,"pure","mu",418.72261586057
73,"pure","mu",597.701849859804
