"ID","presentation","cost","parameter","Score"
92,"alt","global","mu",296.584375144459
93,"alt","global","mu",196.919098153054
94,"alt","global","mu",257.663491787177
95,"alt","global","mu",343.77914811114
97,"alt","global","mu",409.983371408581
98,"alt","global","mu",167.271224578651
99,"alt","global","mu",290.408117722579
100,"alt","global","mu",223.955955587511
101,"alt","global","mu",273.92111828655
102,"alt","global","mu",295.889968101097
1,"alt","global","sigma",73.1685880924267
2,"alt","global","sigma",-40.0657353656865
3,"alt","global","sigma",10.9138881158557
4,"alt","global","sigma",52.579063509483
5,"alt","global","sigma",43.9057111547837
6,"alt","global","sigma",-47.1116779295483
7,"alt","global","sigma",17.5603230783381
8,"alt","global","sigma",-5.57938253360274
9,"alt","global","sigma",6.04153046538855
10,"alt","global","sigma",285.632351330856
11,"alt","global","sigma",7.76400676416701
12,"alt","global","sigma",-5.68940601444445
13,"alt","global","sigma",-10.3772113262482
14,"alt","global","sigma",37.3210952723701
16,"alt","global","sigma",205.680330492782
17,"alt","global","sigma",34.9027510951027
19,"alt","global","sigma",223.059616688512
20,"alt","global","sigma",-6.67984609718111
21,"alt","global","sigma",19.7725258513567
22,"alt","global","sigma",16.1793993565452
23,"alt","global","sigma",52.2606960276703
24,"alt","global","sigma",-52.7620600523304
25,"alt","global","sigma",11.5714915052241
26,"alt","global","sigma",-6.40862242877038
27,"alt","global","sigma",-0.0501736520139358
28,"alt","global","sigma",101.757919546503
29,"alt","global","sigma",-26.6381002296926
30,"alt","global","sigma",206.109965665514
31,"alt","global","sigma",212.904926259158
34,"alt","global","sigma",52.3089459993105
35,"alt","global","sigma",114.922935948666
37,"alt","global","sigma",54.6821051854163
38,"alt","global","sigma",-10.502469945741
39,"alt","global","sigma",77.5244369394422
40,"alt","global","sigma",-14.5535745329447
43,"alt","global","sigma",55.0905285576107
44,"alt","global","sigma",349.445585127973
45,"alt","global","sigma",35.2970227529979
46,"alt","global","sigma",-32.2407586230695
47,"alt","global","sigma",-10.4238255971523
50,"alt","global","sigma",-37.0967890805211
51,"alt","global","sigma",10.3267060171295
53,"alt","global","sigma",-46.3919471701024
54,"alt","global","sigma",210.192011046032
55,"alt","global","sigma",83.8202912064796
56,"alt","global","sigma",-45.4402717183158
57,"alt","global","sigma",18.7388173774207
58,"alt","global","sigma",-43.8306689398229
59,"alt","global","sigma",-2.16354645785665
60,"alt","global","sigma",70.2193676063426
61,"alt","global","sigma",16.9104255437019
62,"alt","global","sigma",82.7756553711632
63,"alt","global","sigma",-26.9840326250538
64,"alt","global","sigma",7.06060693737612
65,"alt","global","sigma",59.7565679749682
66,"alt","global","sigma",288.109125357792
67,"alt","global","sigma",32.8994672857873
69,"alt","global","sigma",80.555775575001
70,"alt","global","sigma",6.65868738961922
71,"alt","global","sigma",9.90057643303456
72,"alt","global","sigma",191.561639969677
73,"alt","global","sigma",69.8246818778262
74,"alt","global","sigma",-58.6361553370362
75,"alt","global","sigma",-56.5830802808854
76,"alt","global","sigma",41.8424075730894
77,"alt","global","sigma",-41.7571016297476
78,"alt","global","sigma",7.76401891628339
80,"alt","global","sigma",82.198948808526
81,"alt","global","sigma",139.055887862625
82,"alt","global","sigma",36.8044851131371
83,"alt","global","sigma",119.23467908443
84,"alt","global","sigma",-48.9080093674336
85,"alt","global","sigma",-51.5618357469834
86,"alt","global","sigma",96.6004365631026
87,"alt","global","sigma",12.5350100931104
88,"alt","global","sigma",72.8228171642738
89,"alt","global","sigma",-3.99025335694044
90,"alt","global","sigma",62.7864798124488
91,"alt","global","sigma",272.187220342789
92,"alt","global","sigma",4.17328980807652
93,"alt","global","sigma",-12.6598620282202
94,"alt","global","sigma",66.862653717554
95,"alt","global","sigma",26.7085250119192
97,"alt","global","sigma",65.063556218254
98,"alt","global","sigma",-30.1646705848984
99,"alt","global","sigma",88.7375250386065
100,"alt","global","sigma",31.200987031851
101,"alt","global","sigma",15.6597297612406
102,"alt","global","sigma",-57.8550671762653
1,"alt","global","tau",435.864067852464
2,"alt","global","tau",44.6105964504123
3,"alt","global","tau",556.456882404942
4,"alt","global","tau",372.21608769762
5,"alt","global","tau",350.430214643501
6,"alt","global","tau",200.731361244151
7,"alt","global","tau",527.774461016878
8,"alt","global","tau",348.549103545369
9,"alt","global","tau",181.832841036374
10,"alt","global","tau",508.325789024503
11,"alt","global","tau",153.141038303083
12,"alt","global","tau",225.507904475561
13,"alt","global","tau",537.152674020924
14,"alt","global","tau",311.713469323785
16,"alt","global","tau",711.773011582558
17,"alt","global","tau",814.353994456476
19,"alt","global","tau",121.25440205821
20,"alt","global","tau",263.23783194053
21,"alt","global","tau",213.981443704734
22,"alt","global","tau",365.541626507121
23,"alt","global","tau",226.03922423232
24,"alt","global","tau",908.826813332422
25,"alt","global","tau",230.517174896568
26,"alt","global","tau",108.025458637554
27,"alt","global","tau",217.818378892069
28,"alt","global","tau",233.039595065239
29,"alt","global","tau",253.047282314787
30,"alt","global","tau",499.577849096566
31,"alt","global","tau",111.090380937052
34,"alt","global","tau",277.714514284242
35,"alt","global","tau",166.913441514481
37,"alt","global","tau",732.018538403502
38,"alt","global","tau",410.599749961865
39,"alt","global","tau",215.309845472253
40,"alt","global","tau",240.587977296618
43,"alt","global","tau",363.060922029919
44,"alt","global","tau",611.06745637216
45,"alt","global","tau",131.655858070694
46,"alt","global","tau",510.581617883496
47,"alt","global","tau",415.461581322849
50,"alt","global","tau",258.643236902202
51,"alt","global","tau",223.744522190391
53,"alt","global","tau",298.795303103297
54,"alt","global","tau",186.119098481335
55,"alt","global","tau",624.585962114559
56,"alt","global","tau",615.406952136186
57,"alt","global","tau",90.163850506498
58,"alt","global","tau",239.526555251141
59,"alt","global","tau",332.474276715424
60,"alt","global","tau",91.5615208498643
61,"alt","global","tau",210.721326451976
62,"alt","global","tau",257.848051646773
63,"alt","global","tau",252.259714738538
64,"alt","global","tau",275.166934607567
65,"alt","global","tau",451.377757731424
66,"alt","global","tau",30.995003108622
67,"alt","global","tau",52.7715735196537
69,"alt","global","tau",203.706446363204
70,"alt","global","tau",63.3811014560516
71,"alt","global","tau",340.142367080105
72,"alt","global","tau",115.637952034538
73,"alt","global","tau",305.45718541202
74,"alt","global","tau",470.80907841503
75,"alt","global","tau",1096.31420514973
76,"alt","global","tau",241.631902414767
77,"alt","global","tau",563.680173934381
78,"alt","global","tau",217.666889658912
80,"alt","global","tau",840.612420319372
81,"alt","global","tau",124.124962213435
82,"alt","global","tau",218.609123113231
83,"alt","global","tau",383.09134340409
84,"alt","global","tau",155.949025076615
85,"alt","global","tau",737.450985954544
86,"alt","global","tau",132.862549219792
87,"alt","global","tau",402.811573402626
88,"alt","global","tau",282.694824215431
89,"alt","global","tau",439.472176543761
90,"alt","global","tau",-14.3248230687006
91,"alt","global","tau",75.8007524910636
92,"alt","global","tau",130.585568275361
93,"alt","global","tau",237.008668127032
94,"alt","global","tau",285.607230726007
95,"alt","global","tau",416.275111684821
97,"alt","global","tau",346.61980990107
98,"alt","global","tau",119.31847458236
99,"alt","global","tau",211.95154784649
100,"alt","global","tau",237.117531204955
101,"alt","global","tau",98.9592452239013
102,"alt","global","tau",566.047950043075
1,"rand","local","mu",-132.073513312808
2,"rand","local","mu",-115.992666061796
3,"rand","local","mu",9.62613534469267
4,"rand","local","mu",-161.506828153565
5,"rand","local","mu",-26.7242948641479
6,"rand","local","mu",-216.40989836415
7,"rand","local","mu",-177.052160929855
8,"rand","local","mu",-240.260298308202
9,"rand","local","mu",-81.1979156542361
10,"rand","local","mu",-487.639403497029
11,"rand","local","mu",-175.6457553014
12,"rand","local","mu",-107.664949617145
13,"rand","local","mu",-433.843429328291
14,"rand","local","mu",-32.8299073416964
16,"rand","local","mu",-130.908402212001
17,"rand","local","mu",-438.689111557069
19,"rand","local","mu",-66.0547286763011
20,"rand","local","mu",-258.552888367343
21,"rand","local","mu",-27.8389159600849
22,"rand","local","mu",-399.022185858473
23,"rand","local","mu",-225.210996748332
24,"rand","local","mu",-455.408294669194
25,"rand","local","mu",21.5835069184756
26,"rand","local","mu",-323.81073563361
27,"rand","local","mu",-82.7162267537863
28,"rand","local","mu",-778.895325652496
29,"rand","local","mu",-38.9415797831102
30,"rand","local","mu",-329.581755357279
31,"rand","local","mu",-277.475902028113
34,"rand","local","mu",-4.10960293625112
35,"rand","local","mu",-144.728172044512
37,"rand","local","mu",-173.731494908986
38,"rand","local","mu",-178.098156750155
39,"rand","local","mu",-57.8462279091543
40,"rand","local","mu",-26.2559765050222
43,"rand","local","mu",-153.241870245601
44,"rand","local","mu",-88.6613127270709
45,"rand","local","mu",-88.8397597958881
46,"rand","local","mu",-157.078134147456
47,"rand","local","mu",-138.278714290349
50,"rand","local","mu",-113.866047132868
51,"rand","local","mu",-170.060686048511
53,"rand","local","mu",-112.000466972997
54,"rand","local","mu",-26.6736909421984
55,"rand","local","mu",-372.82720893484
56,"rand","local","mu",-276.71648031504
57,"rand","local","mu",-21.753575831131
58,"rand","local","mu",-161.236347641832
59,"rand","local","mu",-257.417622934835
60,"rand","local","mu",-76.665439364987
61,"rand","local","mu",-106.534176264594
62,"rand","local","mu",31.1309628228011
63,"rand","local","mu",-79.3710950430846
64,"rand","local","mu",-91.8797194731894
65,"rand","local","mu",-216.165722699483
66,"rand","local","mu",-334.244084239495
67,"rand","local","mu",-98.0487768394996
69,"rand","local","mu",-25.51571081957
70,"rand","local","mu",-259.570943792065
71,"rand","local","mu",-159.862849444951
72,"rand","local","mu",-154.667294910612
73,"rand","local","mu",-18.0920842764189
74,"rand","local","mu",-223.444099389848
75,"rand","local","mu",-244.876782885405
76,"rand","local","mu",-145.832672962552
77,"rand","local","mu",-98.8182071327313
78,"rand","local","mu",-472.637530241069
80,"rand","local","mu",-346.301451495984
81,"rand","local","mu",-216.500330601068
82,"rand","local","mu",-301.203819219944
83,"rand","local","mu",-149.534433970632
84,"rand","local","mu",-209.050115603201
85,"rand","local","mu",-308.147694616931
86,"rand","local","mu",-311.838818021921
87,"rand","local","mu",-65.4729983865407
88,"rand","local","mu",-737.854024645473
89,"rand","local","mu",-170.194310591975
90,"rand","local","mu",-172.867628075339
91,"rand","local","mu",-145.519346921195
92,"rand","local","mu",-172.52334047013
93,"rand","local","mu",-162.347731538364
94,"rand","local","mu",-220.568599328937
95,"rand","local","mu",-119.075761920491
97,"rand","local","mu",-93.5867568236272
98,"rand","local","mu",-246.005395569666
99,"rand","local","mu",-206.876648731116
100,"rand","local","mu",-232.172365754931
101,"rand","local","mu",-73.3715832759217
102,"rand","local","mu",-193.395627352063
1,"rand","local","sigma",-33.5245412228037
2,"rand","local","sigma",-40.4828906692826
3,"rand","local","sigma",71.2125085936974
4,"rand","local","sigma",-117.670134934607
5,"rand","local","sigma",-16.4826082506719
6,"rand","local","sigma",-133.420524309403
7,"rand","local","sigma",-15.2042120934463
8,"rand","local","sigma",-0.457914803489061
9,"rand","local","sigma",-32.1295610665078
10,"rand","local","sigma",-369.658483162286
11,"rand","local","sigma",-108.385957788076
12,"rand","local","sigma",-22.6078556068961
13,"rand","local","sigma",-279.767780965363
14,"rand","local","sigma",-48.3176726118254
16,"rand","local","sigma",549.604195554625
17,"rand","local","sigma",-130.068223081612
19,"rand","local","sigma",-58.8331702350808
20,"rand","local","sigma",-99.1532601388071
21,"rand","local","sigma",-37.2237896516211
22,"rand","local","sigma",-124.968384447847
23,"rand","local","sigma",-81.4228062488024
24,"rand","local","sigma",-195.385814000207
25,"rand","local","sigma",26.3875221448413
26,"rand","local","sigma",-149.150754174551
27,"rand","local","sigma",-50.6289172545539
28,"rand","local","sigma",-278.950906015769
29,"rand","local","sigma",-6.82329981649252
30,"rand","local","sigma",-100.270694720891
31,"rand","local","sigma",-137.918336226789
34,"rand","local","sigma",64.3809123482039
35,"rand","local","sigma",-49.8123628063212
37,"rand","local","sigma",-105.143131930921
38,"rand","local","sigma",-22.4803100974401
39,"rand","local","sigma",73.584897121515
40,"rand","local","sigma",-52.5547233760391
43,"rand","local","sigma",-58.2190445421225
44,"rand","local","sigma",165.244830482049
45,"rand","local","sigma",-30.4313622164886
46,"rand","local","sigma",-59.3235839368513
47,"rand","local","sigma",10.409688054802
50,"rand","local","sigma",-42.3916168418754
51,"rand","local","sigma",-27.3265393250788
53,"rand","local","sigma",0.000130327526179675
54,"rand","local","sigma",52.5889154838594
55,"rand","local","sigma",-96.7499704229352
56,"rand","local","sigma",-162.536937574486
57,"rand","local","sigma",0.616816637399886
58,"rand","local","sigma",-77.1864926178533
59,"rand","local","sigma",-101.86256816901
60,"rand","local","sigma",-81.7986097668036
61,"rand","local","sigma",-38.3238491880259
62,"rand","local","sigma",41.9475785061661
63,"rand","local","sigma",-34.3883084468132
64,"rand","local","sigma",-23.3517963571755
65,"rand","local","sigma",-62.0034781083825
66,"rand","local","sigma",-162.833660190624
67,"rand","local","sigma",3.83021246831046
69,"rand","local","sigma",-29.6418012355246
70,"rand","local","sigma",-110.65384417627
71,"rand","local","sigma",-45.5375211492474
72,"rand","local","sigma",-27.1204930077772
73,"rand","local","sigma",62.0363017554322
74,"rand","local","sigma",-159.644273266936
75,"rand","local","sigma",-91.8540543937542
76,"rand","local","sigma",-7.42155549040359
77,"rand","local","sigma",-55.5341104618908
78,"rand","local","sigma",-266.284392062421
80,"rand","local","sigma",-123.531439765275
81,"rand","local","sigma",-127.581216703358
82,"rand","local","sigma",-53.3692424036345
83,"rand","local","sigma",-21.9330922492171
84,"rand","local","sigma",109.43723653013
85,"rand","local","sigma",-38.3797522695528
86,"rand","local","sigma",-57.1116502979558
87,"rand","local","sigma",-51.8390766681869
88,"rand","local","sigma",-197.941861781994
89,"rand","local","sigma",-32.0505183441667
90,"rand","local","sigma",-40.0097038626996
91,"rand","local","sigma",-17.9484631330286
92,"rand","local","sigma",-79.7383989462472
93,"rand","local","sigma",-80.4829254782948
94,"rand","local","sigma",-71.8368455945988
95,"rand","local","sigma",-25.4341698376467
97,"rand","local","sigma",138.004589797047
98,"rand","local","sigma",-120.227851175593
99,"rand","local","sigma",-41.8236214348548
100,"rand","local","sigma",-88.9967080631452
101,"rand","local","sigma",-70.5410144720988
102,"rand","local","sigma",-168.771148520403
1,"rand","local","tau",40.8348832332225
2,"rand","local","tau",-5.56618834090554
3,"rand","local","tau",-253.795137725199
4,"rand","local","tau",13.1728924756199
5,"rand","local","tau",-86.9257376251749
6,"rand","local","tau",-329.84474104063
7,"rand","local","tau",-156.940810739194
8,"rand","local","tau",105.662683314449
9,"rand","local","tau",43.1393572883006
10,"rand","local","tau",18.3082106714744
11,"rand","local","tau",91.5745959400742
12,"rand","local","tau",-57.8224998598622
13,"rand","local","tau",198.358219149359
14,"rand","local","tau",-141.222283153482
16,"rand","local","tau",-423.251400378146
17,"rand","local","tau",-165.533204031947
19,"rand","local","tau",-0.821644729106595
20,"rand","local","tau",91.945951098038
21,"rand","local","tau",-53.0337429883003
22,"rand","local","tau",142.727614419164
23,"rand","local","tau",10.2904389932258
24,"rand","local","tau",259.960047558771
