"","alt","rand"
"1",261.372041174279,241.600872820246
"2",336.558649204329,303.494752619343
"3",424.298205949306,367.682119453481
"4",528.357312215381,457.44697333853
"5",684.528763171125,608.271024028965
"6",917.017149088513,853.211233555808
