"Subject","type","bin","mean"
4,"rand_ns",4,1340.4
4,"rand_ns",5,1559.44444444444
4,"rand_ns",6,2583.77777777778
4,"rand_switch",1,1098.8
4,"rand_switch",2,1311.7
4,"rand_switch",3,1449.9
4,"rand_switch",4,1591.6
4,"rand_switch",5,1826.2
4,"rand_switch",6,2523.11111111111
5,"alt_ns",1,550.666666666667
5,"alt_ns",2,718.222222222222
5,"alt_ns",3,869.666666666667
5,"alt_ns",4,1049
5,"alt_ns",5,1366.33333333333
5,"alt_ns",6,2229.77777777778
5,"alt_switch",1,704.777777777778
5,"alt_switch",2,933.777777777778
5,"alt_switch",3,1081.88888888889
5,"alt_switch",4,1187.77777777778
5,"alt_switch",5,1506.25
5,"alt_switch",6,1944.75
5,"pure",1,471.290322580645
5,"pure",2,544.866666666667
5,"pure",3,599.333333333333
5,"pure",4,658.766666666667
5,"pure",5,832.966666666667
5,"pure",6,1209.9
5,"rand_ns",1,713.222222222222
5,"rand_ns",2,832.666666666667
5,"rand_ns",3,947.333333333333
5,"rand_ns",4,1045.22222222222
5,"rand_ns",5,1454.77777777778
5,"rand_ns",6,2194.33333333333
5,"rand_switch",1,728.9
5,"rand_switch",2,939
5,"rand_switch",3,1087.11111111111
5,"rand_switch",4,1275.44444444444
5,"rand_switch",5,1536.55555555556
5,"rand_switch",6,2366
6,"alt_ns",1,801.3
6,"alt_ns",2,937.4
6,"alt_ns",3,1021.2
6,"alt_ns",4,1136.11111111111
6,"alt_ns",5,1331.77777777778
6,"alt_ns",6,2535.11111111111
6,"alt_switch",1,1083.3
6,"alt_switch",2,1219.44444444444
6,"alt_switch",3,1341.88888888889
6,"alt_switch",4,1526.44444444444
6,"alt_switch",5,1803.44444444444
6,"alt_switch",6,2611.88888888889
6,"pure",1,614.90625
6,"pure",2,688.5
6,"pure",3,761.870967741935
6,"pure",4,838.838709677419
6,"pure",5,947.096774193548
6,"pure",6,1745.64516129032
6,"rand_ns",1,850.5
6,"rand_ns",2,935.5
6,"rand_ns",3,1017.1
6,"rand_ns",4,1165.55555555556
6,"rand_ns",5,1324.77777777778
6,"rand_ns",6,2318.55555555556
6,"rand_switch",1,1020.1
6,"rand_switch",2,1282.8
6,"rand_switch",3,1524.77777777778
6,"rand_switch",4,1785.11111111111
6,"rand_switch",5,2175.22222222222
6,"rand_switch",6,3139.11111111111
7,"alt_ns",1,987
7,"alt_ns",2,1148.2
7,"alt_ns",3,1363.7
7,"alt_ns",4,1711.22222222222
7,"alt_ns",5,2231.44444444444
7,"alt_ns",6,3031.66666666667
7,"alt_switch",1,939.888888888889
7,"alt_switch",2,1144.11111111111
7,"alt_switch",3,1439.55555555556
7,"alt_switch",4,1681.33333333333
7,"alt_switch",5,2074.77777777778
7,"alt_switch",6,2710.22222222222
7,"pure",1,489
7,"pure",2,573.166666666667
7,"pure",3,622.333333333333
7,"pure",4,709.066666666667
7,"pure",5,863.3
7,"pure",6,1241.76666666667
7,"rand_ns",1,837.1
7,"rand_ns",2,969
7,"rand_ns",3,1059.44444444444
7,"rand_ns",4,1293.11111111111
7,"rand_ns",5,1597.55555555556
7,"rand_ns",6,2543.33333333333
7,"rand_switch",1,1019.4
7,"rand_switch",2,1244.9
7,"rand_switch",3,1528.1
7,"rand_switch",4,1703.88888888889
7,"rand_switch",5,2061
7,"rand_switch",6,2833.22222222222
8,"alt_ns",1,943.8
8,"alt_ns",2,1111.7
8,"alt_ns",3,1204.3
8,"alt_ns",4,1333.6
8,"alt_ns",5,1672
8,"alt_ns",6,2597.33333333333
8,"alt_switch",1,1020.88888888889
8,"alt_switch",2,1127.55555555556
8,"alt_switch",3,1323
8,"alt_switch",4,1475
8,"alt_switch",5,1759.25
8,"alt_switch",6,2273.125
8,"pure",1,616.03125
8,"pure",2,711.5625
8,"pure",3,764.59375
8,"pure",4,841.375
8,"pure",5,926
8,"pure",6,1211.74193548387
8,"rand_ns",1,933.2
8,"rand_ns",2,1156.5
8,"rand_ns",3,1301.22222222222
8,"rand_ns",4,1477.77777777778
8,"rand_ns",5,1860.44444444444
8,"rand_ns",6,2767.11111111111
8,"rand_switch",1,1148.1
8,"rand_switch",2,1341.7
8,"rand_switch",3,1470.3
8,"rand_switch",4,1630.1
8,"rand_switch",5,2001.9
8,"rand_switch",6,2692.66666666667
9,"alt_ns",1,761
9,"alt_ns",2,829.4
9,"alt_ns",3,929.6
9,"alt_ns",4,1063.22222222222
9,"alt_ns",5,1189.33333333333
9,"alt_ns",6,1562.11111111111
9,"alt_switch",1,771.6
9,"alt_switch",2,880.2
9,"alt_switch",3,968.555555555556
9,"alt_switch",4,1103.33333333333
9,"alt_switch",5,1335.88888888889
9,"alt_switch",6,1822.33333333333
9,"pure",1,404.09375
9,"pure",2,451.225806451613
9,"pure",3,482.516129032258
9,"pure",4,517.032258064516
9,"pure",5,559.838709677419
9,"pure",6,793.161290322581
9,"rand_ns",1,691
9,"rand_ns",2,775.5
9,"rand_ns",3,855.1
9,"rand_ns",4,1007.5
9,"rand_ns",5,1214.88888888889
9,"rand_ns",6,1562.88888888889
9,"rand_switch",1,753.6
9,"rand_switch",2,854.6
9,"rand_switch",3,918.7
9,"rand_switch",4,1032
9,"rand_switch",5,1205.4
9,"rand_switch",6,1544.77777777778
10,"alt_ns",1,961.6
10,"alt_ns",2,1506.8
10,"alt_ns",3,1889.8
10,"alt_ns",4,2522.1
10,"alt_ns",5,3246.44444444444
10,"alt_ns",6,4425.11111111111
10,"alt_switch",1,1168.6
10,"alt_switch",2,1448.5
10,"alt_switch",3,1678.7
10,"alt_switch",4,2056.11111111111
10,"alt_switch",5,2580.55555555556
10,"alt_switch",6,4209.33333333333
10,"pure",1,490.375
10,"pure",2,624.65625
10,"pure",3,743.41935483871
10,"pure",4,1057
10,"pure",5,1456.06451612903
10,"pure",6,3039.48387096774
10,"rand_ns",1,903.2
10,"rand_ns",2,1189.1
10,"rand_ns",3,1726.7
10,"rand_ns",4,2418.66666666667
10,"rand_ns",5,3235
10,"rand_ns",6,4952.44444444444
10,"rand_switch",1,1275.2
10,"rand_switch",2,1734.8
10,"rand_switch",3,2304.7
10,"rand_switch",4,3100
10,"rand_switch",5,3736.55555555556
10,"rand_switch",6,5060
11,"alt_ns",1,705.2
11,"alt_ns",2,818.7
11,"alt_ns",3,967.7
11,"alt_ns",4,1133.5
11,"alt_ns",5,1295.88888888889
11,"alt_ns",6,1696.77777777778
11,"alt_switch",1,801
11,"alt_switch",2,893.888888888889
11,"alt_switch",3,1009.55555555556
11,"alt_switch",4,1144.44444444444
11,"alt_switch",5,1381.66666666667
11,"alt_switch",6,1774
11,"pure",1,411.41935483871
11,"pure",2,482.645161290323
11,"pure",3,533.466666666667
11,"pure",4,592.966666666667
11,"pure",5,730.333333333333
11,"pure",6,1210.3
11,"rand_ns",1,656.4
11,"rand_ns",2,771.6
11,"rand_ns",3,865.3
11,"rand_ns",4,976.222222222222
11,"rand_ns",5,1118
11,"rand_ns",6,1522.66666666667
11,"rand_switch",1,713.181818181818
11,"rand_switch",2,866.4
11,"rand_switch",3,972.9
11,"rand_switch",4,1092.4
11,"rand_switch",5,1210.4
11,"rand_switch",6,1523.8
12,"alt_ns",1,712.5
12,"alt_ns",2,793.5
12,"alt_ns",3,900.2
12,"alt_ns",4,1034.6
12,"alt_ns",5,1198.55555555556
12,"alt_ns",6,1861.66666666667
12,"alt_switch",1,760.4
12,"alt_switch",2,859.3
12,"alt_switch",3,959.444444444444
12,"alt_switch",4,1076.11111111111
12,"alt_switch",5,1361.44444444444
12,"alt_switch",6,1820.11111111111
12,"pure",1,463.709677419355
12,"pure",2,509.387096774194
12,"pure",3,542.741935483871
12,"pure",4,587.064516129032
12,"pure",5,666.967741935484
12,"pure",6,968.774193548387
12,"rand_ns",1,722.6
12,"rand_ns",2,845
12,"rand_ns",3,936.333333333333
12,"rand_ns",4,1104.55555555556
12,"rand_ns",5,1224.22222222222
12,"rand_ns",6,1868.11111111111
12,"rand_switch",1,822.9
12,"rand_switch",2,969.888888888889
12,"rand_switch",3,1097.88888888889
12,"rand_switch",4,1290
12,"rand_switch",5,1494.44444444444
12,"rand_switch",6,1996.44444444444
13,"alt_ns",1,899.6
13,"alt_ns",2,1075.9
13,"alt_ns",3,1269.9
13,"alt_ns",4,1495.3
13,"alt_ns",5,2120.11111111111
13,"alt_ns",6,2876.77777777778
13,"alt_switch",1,956.6
13,"alt_switch",2,1156.6
13,"alt_switch",3,1330.8
13,"alt_switch",4,1664.88888888889
13,"alt_switch",5,2194.44444444444
13,"alt_switch",6,2861.66666666667
13,"pure",1,509.28125
13,"pure",2,562.375
13,"pure",3,615.03125
13,"pure",4,678.193548387097
13,"pure",5,776.129032258065
13,"pure",6,1241.61290322581
13,"rand_ns",1,939.5
13,"rand_ns",2,1098.8
13,"rand_ns",3,1221.77777777778
13,"rand_ns",4,1370.11111111111
13,"rand_ns",5,1599.55555555556
13,"rand_ns",6,2279
13,"rand_switch",1,988.5
13,"rand_switch",2,1232.1
13,"rand_switch",3,1562.2
13,"rand_switch",4,1767.1
13,"rand_switch",5,1918.6
13,"rand_switch",6,2368.4
14,"alt_ns",1,767.3
14,"alt_ns",2,931.6
14,"alt_ns",3,1059.1
14,"alt_ns",4,1343.77777777778
14,"alt_ns",5,1701.77777777778
14,"alt_ns",6,2900.55555555556
14,"alt_switch",1,736.1
14,"alt_switch",2,975.555555555556
14,"alt_switch",3,1157.77777777778
14,"alt_switch",4,1383
14,"alt_switch",5,1705.22222222222
14,"alt_switch",6,2975.33333333333
14,"pure",1,440.5
14,"pure",2,528.8125
14,"pure",3,593.870967741935
14,"pure",4,696.967741935484
14,"pure",5,923.838709677419
14,"pure",6,1673.41935483871
14,"rand_ns",1,778.2
14,"rand_ns",2,904
14,"rand_ns",3,1077.22222222222
14,"rand_ns",4,1424.55555555556
14,"rand_ns",5,1786.88888888889
14,"rand_ns",6,2574.44444444444
14,"rand_switch",1,801.6
14,"rand_switch",2,1070.8
14,"rand_switch",3,1370.2
14,"rand_switch",4,1681.2
14,"rand_switch",5,2030.11111111111
14,"rand_switch",6,2722.33333333333
16,"alt_ns",1,1146.8
16,"alt_ns",2,1563.9
16,"alt_ns",3,1843.7
16,"alt_ns",4,2242
16,"alt_ns",5,2851.2
16,"alt_ns",6,4550.7
16,"alt_switch",1,1353.2
16,"alt_switch",2,1674.7
16,"alt_switch",3,1833
16,"alt_switch",4,2111.2
16,"alt_switch",5,2822.88888888889
16,"alt_switch",6,3996.66666666667
16,"pure",1,529.125
16,"pure",2,615.125
16,"pure",3,701.96875
16,"pure",4,827.483870967742
16,"pure",5,1058.67741935484
16,"pure",6,2162.93548387097
16,"rand_ns",1,1138
16,"rand_ns",2,1897.5
16,"rand_ns",3,2546
16,"rand_ns",4,3079.55555555556
16,"rand_ns",5,3464.66666666667
16,"rand_ns",6,4298.55555555556
16,"rand_switch",1,2109.2
16,"rand_switch",2,2521.4
16,"rand_switch",3,2932.6
16,"rand_switch",4,3279.5
16,"rand_switch",5,3842.2
16,"rand_switch",6,4956.55555555556
17,"alt_ns",1,854.5
17,"alt_ns",2,1042.1
17,"alt_ns",3,1426.5
17,"alt_ns",4,1777.8
17,"alt_ns",5,2235
17,"alt_ns",6,3056.3
17,"alt_switch",1,1186
17,"alt_switch",2,1477.9
17,"alt_switch",3,1722.11111111111
17,"alt_switch",4,1988.88888888889
17,"alt_switch",5,2340.88888888889
17,"alt_switch",6,3056.33333333333
17,"pure",1,394.161290322581
17,"pure",2,450.064516129032
17,"pure",3,494.58064516129
17,"pure",4,539.387096774194
17,"pure",5,587.548387096774
17,"pure",6,817.666666666667
17,"rand_ns",1,755.4
17,"rand_ns",2,883.111111111111
17,"rand_ns",3,1068.11111111111
17,"rand_ns",4,1254.77777777778
17,"rand_ns",5,1474.33333333333
17,"rand_ns",6,2376.66666666667
17,"rand_switch",1,1117
17,"rand_switch",2,1390.66666666667
17,"rand_switch",3,1588.66666666667
17,"rand_switch",4,1806
17,"rand_switch",5,2247.5
17,"rand_switch",6,3440.25
19,"alt_ns",1,822.3
19,"alt_ns",2,995
19,"alt_ns",3,1183.22222222222
19,"alt_ns",4,1456.33333333333
19,"alt_ns",5,1611.22222222222
19,"alt_ns",6,1981.66666666667
19,"alt_switch",1,879.666666666667
19,"alt_switch",2,1042.66666666667
19,"alt_switch",3,1201.11111111111
19,"alt_switch",4,1363
19,"alt_switch",5,1513.125
19,"alt_switch",6,1820.125
19,"pure",1,536.58064516129
19,"pure",2,612.483870967742
19,"pure",3,655.322580645161
19,"pure",4,722.741935483871
19,"pure",5,804.903225806452
19,"pure",6,1137.67741935484
19,"rand_ns",1,707.333333333333
19,"rand_ns",2,801.777777777778
19,"rand_ns",3,879
19,"rand_ns",4,991.444444444444
19,"rand_ns",5,1228.88888888889
19,"rand_ns",6,1721.375
19,"rand_switch",1,726.666666666667
19,"rand_switch",2,873.555555555556
19,"rand_switch",3,969.666666666667
19,"rand_switch",4,1126.44444444444
19,"rand_switch",5,1332.5
19,"rand_switch",6,1719.5
20,"alt_ns",1,869.4
20,"alt_ns",2,994.6
20,"alt_ns",3,1142.1
20,"alt_ns",4,1282.6
20,"alt_ns",5,1642.22222222222
20,"alt_ns",6,2212.11111111111
20,"alt_switch",1,1006.8
20,"alt_switch",2,1296.9
20,"alt_switch",3,1393.33333333333
20,"alt_switch",4,1543.44444444444
20,"alt_switch",5,1737.22222222222
20,"alt_switch",6,2109.44444444444
20,"pure",1,573.59375
20,"pure",2,663.65625
20,"pure",3,737.516129032258
20,"pure",4,845.161290322581
20,"pure",5,969.58064516129
20,"pure",6,1187.12903225806
20,"rand_ns",1,926.444444444444
20,"rand_ns",2,1105.55555555556
20,"rand_ns",3,1258.22222222222
20,"rand_ns",4,1471
20,"rand_ns",5,1670.88888888889
20,"rand_ns",6,2273.22222222222
20,"rand_switch",1,1069.7
20,"rand_switch",2,1306.6
20,"rand_switch",3,1471.3
20,"rand_switch",4,1658.6
20,"rand_switch",5,1912.22222222222
20,"rand_switch",6,2393.33333333333
21,"alt_ns",1,506.5
21,"alt_ns",2,626.9
21,"alt_ns",3,698.3
21,"alt_ns",4,767.666666666667
21,"alt_ns",5,906
21,"alt_ns",6,1434.44444444444
21,"alt_switch",1,584.9
21,"alt_switch",2,672
21,"alt_switch",3,792.888888888889
21,"alt_switch",4,889.888888888889
21,"alt_switch",5,1108.88888888889
21,"alt_switch",6,1607.44444444444
21,"pure",1,386.15625
21,"pure",2,432.354838709677
21,"pure",3,465.967741935484
21,"pure",4,495.935483870968
21,"pure",5,538.225806451613
21,"pure",6,658.41935483871
21,"rand_ns",1,769.4
21,"rand_ns",2,856.7
21,"rand_ns",3,912.444444444444
21,"rand_ns",4,1005.77777777778
21,"rand_ns",5,1213.55555555556
21,"rand_ns",6,1630.55555555556
21,"rand_switch",1,775
21,"rand_switch",2,898.4
21,"rand_switch",3,995.666666666667
21,"rand_switch",4,1112.44444444444
21,"rand_switch",5,1325.66666666667
21,"rand_switch",6,1778.33333333333
22,"alt_ns",1,888.2
22,"alt_ns",2,988
22,"alt_ns",3,1134.5
22,"alt_ns",4,1284.7
22,"alt_ns",5,1556
22,"alt_ns",6,2562.4
22,"alt_switch",1,1089.2
22,"alt_switch",2,1366.9
22,"alt_switch",3,1585
22,"alt_switch",4,1756.88888888889
22,"alt_switch",5,2023.66666666667
22,"alt_switch",6,2806.88888888889
22,"pure",1,505.625
22,"pure",2,567.1875
22,"pure",3,637
22,"pure",4,684.5625
22,"pure",5,761.225806451613
22,"pure",6,1048.8064516129
22,"rand_ns",1,938.2
22,"rand_ns",2,1136.3
22,"rand_ns",3,1307.3
22,"rand_ns",4,1486.44444444444
22,"rand_ns",5,2124.77777777778
22,"rand_ns",6,3102.11111111111
22,"rand_switch",1,1207.9
22,"rand_switch",2,1502.88888888889
22,"rand_switch",3,1687
22,"rand_switch",4,1841
22,"rand_switch",5,2105.11111111111
22,"rand_switch",6,3192.11111111111
23,"alt_ns",1,484.4
23,"alt_ns",2,592.111111111111
23,"alt_ns",3,662.777777777778
23,"alt_ns",4,761
23,"alt_ns",5,1040.77777777778
23,"alt_ns",6,1597.22222222222
23,"alt_switch",1,617.875
23,"alt_switch",2,768
23,"alt_switch",3,993.75
23,"alt_switch",4,1218.5
23,"alt_switch",5,1352.375
23,"alt_switch",6,2071.375
23,"pure",1,429.133333333333
23,"pure",2,466.333333333333
23,"pure",3,491.724137931034
23,"pure",4,535
23,"pure",5,592.275862068965
23,"pure",6,922.103448275862
23,"rand_ns",1,585.444444444444
23,"rand_ns",2,680.555555555556
23,"rand_ns",3,739.75
23,"rand_ns",4,843.875
23,"rand_ns",5,990.125
23,"rand_ns",6,1547.625
23,"rand_switch",1,756.5
23,"rand_switch",2,878.1
23,"rand_switch",3,980.8
23,"rand_switch",4,1036.5
23,"rand_switch",5,1236.2
23,"rand_switch",6,1793.66666666667
24,"alt_ns",1,839.222222222222
24,"alt_ns",2,1105.77777777778
24,"alt_ns",3,1371.11111111111
24,"alt_ns",4,1726.44444444444
24,"alt_ns",5,2171.66666666667
24,"alt_ns",6,3625.88888888889
24,"alt_switch",1,1174.2
24,"alt_switch",2,1401.44444444444
24,"alt_switch",3,1588.55555555556
24,"alt_switch",4,1712.22222222222
24,"alt_switch",5,2158.22222222222
24,"alt_switch",6,3663.55555555556
24,"pure",1,525.84375
24,"pure",2,582.71875
24,"pure",3,642.58064516129
24,"pure",4,691
24,"pure",5,747.451612903226
24,"pure",6,958.193548387097
24,"rand_ns",1,862.7
24,"rand_ns",2,1120.33333333333
24,"rand_ns",3,1362
24,"rand_ns",4,1592.33333333333
24,"rand_ns",5,2023.77777777778
24,"rand_ns",6,3202.11111111111
24,"rand_switch",1,1174.7
24,"rand_switch",2,1442.9
24,"rand_switch",3,1672.66666666667
24,"rand_switch",4,1802
24,"rand_switch",5,2089.11111111111
24,"rand_switch",6,3184.11111111111
25,"alt_ns",1,830.1
25,"alt_ns",2,911.7
25,"alt_ns",3,983.2
25,"alt_ns",4,1076.44444444444
25,"alt_ns",5,1306.88888888889
25,"alt_ns",6,1827.33333333333
25,"alt_switch",1,906.6
25,"alt_switch",2,1045.3
25,"alt_switch",3,1137.33333333333
25,"alt_switch",4,1204.55555555556
25,"alt_switch",5,1354.22222222222
25,"alt_switch",6,1819.44444444444
25,"pure",1,433.375
25,"pure",2,481.870967741935
25,"pure",3,511.870967741935
25,"pure",4,550.483870967742
25,"pure",5,597.709677419355
25,"pure",6,736.41935483871
25,"rand_ns",1,875.6
25,"rand_ns",2,963.9
25,"rand_ns",3,1006.1
25,"rand_ns",4,1073.9
25,"rand_ns",5,1202.33333333333
25,"rand_ns",6,1530.11111111111
25,"rand_switch",1,884.4
25,"rand_switch",2,961.8
