"bin","Trial_Type","Average","Upper","Lower"
1,"alt_ns",786.568572472849,820.885049471081,752.252095474616
2,"alt_ns",956.770796783626,1003.02893425121,910.512659316042
3,"alt_ns",1125.72107351713,1188.61809954914,1062.82404748511
4,"alt_ns",1329.40200501253,1412.56927038955,1246.23473963551
5,"alt_ns",1645.85301796157,1758.89110128361,1532.81493463953
6,"alt_ns",2400.30675125313,2596.6429277355,2203.97057477076
1,"alt_switch",874.391786758563,919.052479563596,829.73109395353
2,"alt_switch",1067.67355889724,1119.58749781108,1015.7596199834
3,"alt_switch",1227.7410609858,1287.00421443199,1168.47790753961
4,"alt_switch",1413.87542293233,1485.86728735105,1341.88355851361
5,"alt_switch",1711.93294172932,1814.71953278892,1609.14635066973
6,"alt_switch",2424.04755116959,2611.92546706624,2236.16963527294
1,"pure",457.54393035516,473.505636689405,441.582224020915
2,"pure",525.368146349993,543.547755691264,507.188537008723
3,"pure",576.336240397062,597.639893665595,555.03258712853
4,"pure",641.019260539148,669.480455526216,612.558065552079
5,"pure",745.84065319394,788.2846333672,703.39667302068
6,"pure",1194.66105258202,1302.14118954135,1087.18091562269
1,"rand_ns",754.343817878028,785.150801440795,723.536834315261
2,"rand_ns",901.903931704261,946.714357865644,857.093505542877
3,"rand_ns",1034.27850355054,1097.0462864958,971.510720605286
4,"rand_ns",1211.84922723475,1293.68723063439,1130.01122383512
5,"rand_ns",1510.47463450292,1620.00247710864,1400.94679189721
6,"rand_ns",2272.64121240602,2472.02642929595,2073.25599551608
1,"rand_switch",895.506407590947,945.891686725772,845.121128456122
2,"rand_switch",1089.17182017544,1154.5615670882,1023.78207326267
3,"rand_switch",1253.92531328321,1334.51186747038,1173.33875909604
4,"rand_switch",1450.8578320802,1548.92843130599,1352.78723285441
5,"rand_switch",1739.91678675856,1863.30631717032,1616.52725634681
6,"rand_switch",2418.17544903927,2617.28999245192,2219.06090562661
