"Subject","rand_local","alt_local","rand_global","alt_global","bin"
1001,373.090909090909,186.4,432.21875,664.31875,1
1002,209.6,39.1454545454544,393.93125,384.485795454545,1
1003,427.4,365.277777777778,398.31935483871,511.91935483871,1
1007,210.877777777778,125.411111111111,224.988888888889,414.466666666667,1
1008,224.627272727273,132.2,328.6625,285.9625,1
1009,188.5,194.6,958.95,760.45,1
1010,1346.26785714286,-259,1294.45564516129,2909.91397849462,1
1011,137.55,137.55,435.253968253968,435.253968253968,1
1014,289.977777777778,340.444444444444,528.153256704981,237.486590038314,1
1015,113.1,199.5,363.84375,487.74375,1
1016,266.533333333333,-104.555555555556,498.333333333333,686.333333333333,1
1017,187.7,223.6,390.0875,348.1875,1
1018,409,181.1,540.951612903226,643.151612903226,1
1019,158.1,7.86666666666667,367.5625,380.3625,1
1020,287.155555555556,153.7,409.98064516129,472.28064516129,1
1022,238.3,148.2,536.725,540.725,1
1023,109,138.927272727273,367.63125,448.803977272727,1
1024,128.509090909091,69.109090909091,684.525,591.215909090909,1
1025,177.266666666667,-2,590.9625,961.3625,1
1026,194.3,416.2,404.35625,377.05625,1
1027.5,482.7,404.577777777778,466.5,598.222222222222,1
1029,381.5,-28.8,405.658064516129,799.358064516129,1
1030,200.1,104.8,474.896774193548,452.196774193548,1
1031,176.3,-137.2,434.0625,745.7625,1
3001,52.5,82.5272727272727,440.225,408.897727272727,1
3002,811.4,39.5272727272727,760.15625,984.428977272727,1
3003,61.3,1.89999999999998,325.65625,454.15625,1
3004,96.2888888888889,134.3,380.503225806452,298.703225806452,1
3006,151.5,96.3454545454545,327.832258064516,180.486803519062,1
3007,112.3,89.4000000000001,442.045161290323,619.445161290323,1
3008,6.10000000000002,203.8,458.290322580645,311.590322580645,1
3009,262.388888888889,38.0111111111112,340.016129032258,536.616129032258,1
3010,271.375,249.888888888889,560.466666666667,854.244444444445,1
3012,521.9,118.4,356.712903225806,589.012903225807,1
3013,188.3,263.445454545455,473.33125,367.485795454545,1
3014,692.333333333333,577.3,1076.34523809524,836.378571428571,1
1001,473.5,232.1,556.175,842.075,2
1002,131,5.09999999999991,600.61875,520.11875,2
1003,581.9,353.377777777778,520.158064516129,740.658064516129,2
1007,318.611111111111,248.111111111111,243.588888888889,406.811111111111,2
1008,326.2,204.7,402.18125,299.38125,2
1009,169.3,314.4,1044.65625,785.65625,2
1010,766.589285714285,-731.333333333333,2710.44758064516,4180.32258064516,2
1011,221.4,221.4,598.289682539683,598.289682539683,2
1014,276.888888888889,474.666666666667,694.245210727969,472.911877394636,2
1015,180.3,176.9,394.4375,659.2375,2
1016,399.977777777778,-89.5555555555557,654.022222222222,803.355555555556,2
1017,295,220.5,514.845161290323,563.245161290322,2
1018,393.1,427,779.632258064516,695.032258064516,2
1019,275.3,50.2,457.606451612903,521.606451612903,2
1020,385.833333333333,186.277777777778,675.370967741935,655.370967741935,2
1022,202.2,108.111111111111,863.5,744.444444444444,2
1023,103.8,128.8,432.725,506.425,2
1024,119.5,90.5,778.775,620.875,2
1025,400.888888888889,112.633333333333,785.625,1184.325,2
1026,460.4,378.7,561.3875,597.6875,2
1027.5,791.9,313.777777777778,475.954838709677,957.688172043011,2
1029,323,21.5999999999999,628.554838709677,943.754838709678,2
1030,174.2,68.0999999999999,611.348387096774,517.248387096774,2
1031,302.5,25.3000000000002,445.64375,819.94375,2
