Subject,bin,type,mean
37,1,alt_local,-105.0222222
37,2,alt_local,-98.45555556
37,3,alt_local,-234.0888889
37,4,alt_local,-464.2555556
37,5,alt_local,-561.5333333
37,6,alt_local,-842.0666667
37,1,rand_global,297.6222222
37,2,rand_global,421
37,3,rand_global,536.3836207
37,4,rand_global,688.8534483
37,5,rand_global,1072.50431
37,6,rand_global,1652.387931
37,1,alt_global,535.2
37,2,alt_global,686.9
37,3,alt_global,902.9586207
37,4,alt_global,1261.803448
37,5,alt_global,1615.57931
37,6,alt_global,2276.537931
38,1,rand_local,175
38,2,rand_local,162.5888889
38,3,rand_local,194.2222222
38,4,rand_local,279.7777778
38,5,rand_local,255.3333333
38,6,rand_local,171.5555556
38,1,alt_local,-2.277777778
38,2,alt_local,49.28888889
38,3,alt_local,81.11111111
38,4,alt_local,128.6666667
38,5,alt_local,19.11111111
38,6,alt_local,36.66666667
38,1,rand_global,282.13125
38,2,rand_global,350.3322581
38,3,rand_global,424.9892473
38,4,rand_global,523.4050179
38,5,rand_global,754.9856631
38,6,rand_global,1014.659498
38,1,alt_global,390.53125
38,2,alt_global,465.6322581
38,3,alt_global,580.1003584
38,4,alt_global,706.4050179
38,5,alt_global,1092.430108
38,6,alt_global,1279.88172
39,1,rand_local,105.2666667
39,2,rand_local,94.22222222
39,3,rand_local,139.1111111
39,4,rand_local,67.11111111
39,5,rand_local,72.88888889
39,6,rand_local,-62.08333333
39,1,alt_local,33.43333333
39,2,alt_local,87.07777778
39,3,alt_local,193.3333333
39,4,alt_local,162.9
39,5,alt_local,117.6
39,6,alt_local,35.72222222
39,1,rand_global,243.1954023
39,2,rand_global,321.3793103
39,3,rand_global,373.4563492
39,4,rand_global,531.6547619
39,5,rand_global,700.3730159
39,6,rand_global,1017.75
39,1,alt_global,377.762069
39,2,alt_global,480.0793103
39,3,alt_global,518.6785714
39,4,alt_global,634.4214286
39,5,alt_global,806.8285714
39,6,alt_global,968.7777778
40,1,rand_local,-14.34444444
40,2,rand_local,54.43333333
40,3,rand_local,80.66666667
40,4,rand_local,23.44444444
40,5,rand_local,-6.777777778
40,6,rand_local,-139.8888889
40,1,alt_local,71.7
40,2,alt_local,77.5
40,3,alt_local,27.77777778
40,4,alt_local,56.22222222
40,5,alt_local,7.888888889
40,6,alt_local,57.66666667
40,1,rand_global,406.4444444
40,2,rand_global,428.344086
40,3,rand_global,504.9888889
40,4,rand_global,639.8555556
40,5,rand_global,864.7555556
40,6,rand_global,1186.211111
40,1,alt_global,338.9
40,2,alt_global,379.2774194
40,3,alt_global,442.2111111
40,4,alt_global,495.4111111
40,5,alt_global,668.2
40,6,alt_global,889.9888889
43,1,rand_local,104.1777778
43,2,rand_local,147.6666667
43,3,rand_local,156.7777778
43,4,rand_local,168.2222222
43,5,rand_local,132.4444444
43,6,rand_local,172.7777778
43,1,alt_local,58.6
43,2,alt_local,98.5
43,3,alt_local,56.1
43,4,alt_local,-73.11111111
43,5,alt_local,-152.1111111
43,6,alt_local,-63.88888889
43,1,rand_global,239.7706093
43,2,rand_global,300.6236559
43,3,rand_global,317.046595
43,4,rand_global,359.9605735
43,5,rand_global,484.0716846
43,6,rand_global,549.5
43,1,alt_global,403.1483871
43,2,alt_global,496.6903226
43,3,alt_global,665.5354839
43,4,alt_global,856.4050179
43,5,alt_global,1021.405018
43,6,alt_global,1150.277778
44,1,rand_local,121.7
44,2,rand_local,252.7777778
44,3,rand_local,350.8888889
44,4,rand_local,315.7777778
44,5,rand_local,44.55555556
44,6,rand_local,-232.3333333
44,1,alt_local,-143.3888889
44,2,alt_local,-20.36111111
44,3,alt_local,62.16666667
44,4,alt_local,109.8333333
44,5,alt_local,310.8333333
44,6,alt_local,45.125
44,1,rand_global,336.1290323
44,2,rand_global,476.2007168
44,3,rand_global,603.4265233
44,4,rand_global,843.2007168
44,5,rand_global,1369.229391
44,6,rand_global,2561.977778
44,1,alt_global,-44.37096774
44,2,alt_global,419.8951613
44,3,alt_global,562.3709677
44,4,alt_global,727.1451613
44,5,alt_global,857.9516129
44,6,alt_global,2125.325
45,1,rand_local,42.9
45,2,rand_local,61.6
45,3,rand_local,52
45,4,rand_local,21.8
45,5,rand_local,-75.88888889
45,6,rand_local,-167
45,1,alt_local,52.4
45,2,alt_local,47
45,3,alt_local,29.11111111
45,4,alt_local,-30.22222222
45,5,alt_local,-66.66666667
45,6,alt_local,-267.8888889
45,1,rand_global,205.275
45,2,rand_global,220.65625
45,3,rand_global,251.8709677
45,4,rand_global,325.1935484
45,5,rand_global,456.0035842
45,6,rand_global,542.0537634
45,1,alt_global,314.475
45,2,alt_global,356.55625
45,3,alt_global,388.7598566
45,4,alt_global,473.4157706
45,5,alt_global,533.1146953
45,6,alt_global,653.7204301
46,1,rand_local,102.7777778
46,2,rand_local,174.5555556
46,3,rand_local,178
46,4,rand_local,308.2222222
46,5,rand_local,14.55555556
46,6,rand_local,-47.04166667
46,1,alt_local,141.3777778
46,2,alt_local,192.55
46,3,alt_local,180.9
46,4,alt_local,68.875
46,5,alt_local,-129.9027778
46,6,alt_local,-406.9444444
46,1,rand_global,279.4
46,2,rand_global,357.3444444
46,3,rand_global,457.7
46,4,rand_global,561.7888889
46,5,rand_global,1109.811111
46,6,rand_global,1389.2
46,1,alt_global,382.8
46,2,alt_global,487.7666667
46,3,alt_global,657.9666667
46,4,alt_global,918.7333333
46,5,alt_global,1259.144444
46,6,alt_global,1458.977778
47,1,rand_local,128.8
47,2,rand_local,99.33333333
47,3,rand_local,5.444444444
47,4,rand_local,-71.77777778
47,5,rand_local,-141.5555556
47,6,rand_local,-72.22222222
47,1,alt_local,95.1
47,2,alt_local,46.3
47,3,alt_local,17.16666667
47,4,alt_local,-128.0111111
47,5,alt_local,-231.8888889
47,6,alt_local,-100.1111111
47,1,rand_global,349.5375
47,2,rand_global,358.7311828
47,3,rand_global,485.390681
47,4,rand_global,631.0143369
47,5,rand_global,747.5878136
47,6,rand_global,740.1756272
47,1,alt_global,347.9375
47,2,alt_global,410.1645161
47,3,alt_global,561.1129032
47,4,alt_global,833.8032258
47,5,alt_global,1060.032258
47,6,alt_global,1148.397849
50,1,rand_local,63.2
50,2,rand_local,58.77777778
