"parameter","Average","Upper","Lower","Trial_Type"
"mu",630.239092689152,821.235177678848,439.243007699457,"alt_global"
"sigma",184.986534639813,282.462827034806,87.5102422448192,"alt_global"
"tau",311.302817845682,459.88492468747,162.720711003893,"alt_global"
"mu",-242.455003638525,-51.4589186488288,-433.451088628221,"alt_local"
"sigma",-77.2871584720295,20.189133922964,-174.763450867023,"alt_local"
"tau",122.963144611444,271.545251453232,-25.6189622303446,"alt_local"
"mu",409.455893446478,600.451978436174,218.459808456782,"rand_global"
"sigma",78.3467321647278,175.823024559721,-19.1295602302656,"rand_global"
"tau",303.540831272052,452.12293811384,154.958724430263,"rand_global"
"mu",-291.872884163345,-100.876799173649,-482.868969153041,"rand_local"
"sigma",-146.980378365702,-49.5040859707082,-244.456670760695,"rand_local"
"tau",66.0813095453682,214.663416387157,-82.5007972964203,"rand_local"
