"parameter","Average","Upper","Lower","Trial_Type"
"mu",329.609153393661,379.803892646679,279.414414140643,"alt_global"
"sigma",45.0202322005125,62.9882137499719,27.0522506510531,"alt_global"
"tau",321.872330941353,374.888847098271,268.855814784434,"alt_global"
"mu",-123.025977704423,-72.8312384514051,-173.220716957441,"alt_local"
"sigma",-34.4610514825164,-16.493069933057,-52.4290330319758,"alt_local"
"tau",36.8083074373763,89.8248235942949,-16.2082087195422,"alt_local"
"mu",300.027804216754,350.222543469772,249.833064963736,"rand_global"
"sigma",40.5471178915297,58.5150994409891,22.5791363420703,"rand_global"
"tau",283.037264810809,336.053780967728,230.020748653891,"rand_global"
"mu",-185.883876254104,-135.689137001086,-236.078615507122,"rand_local"
"sigma",-54.9615870770056,-36.9936055275462,-72.929568626465,"rand_local"
"tau",-4.82879908807662,48.187717068842,-57.8453152449952,"rand_local"
