bin,Group,Trial_Type,Average,Upper,Lower
1,YA,alt_ns,783.1410396,812.3823226,753.8997566
2,YA,alt_ns,944.1200687,984.5232734,903.716864
3,YA,alt_ns,1105.490855,1161.207872,1049.773838
4,YA,alt_ns,1299.071036,1373.155193,1224.986879
5,YA,alt_ns,1597.413452,1697.524536,1497.302368
6,YA,alt_ns,2320.549657,2495.4381,2145.661214
1,YA,alt_switch,873.9752631,912.6803553,835.2701709
2,YA,alt_switch,1058.61969,1104.53722,1012.70216
3,YA,alt_switch,1211.454374,1264.032445,1158.876303
4,YA,alt_switch,1395.340405,1459.396653,1331.284156
5,YA,alt_switch,1685.514901,1776.240499,1594.789303
6,YA,alt_switch,2350.252051,2518.001199,2182.502903
1,YA,pure,453.2259835,467.7601263,438.6918406
2,YA,pure,519.3012351,536.2997403,502.3027299
3,YA,pure,569.9233713,589.8099149,550.0368277
4,YA,pure,632.1556632,658.3245726,605.9867538
5,YA,pure,733.3717422,772.0061824,694.7373019
6,YA,pure,1163.051085,1260.65714,1065.445031
1,YA,rand_ns,758.1850187,782.3222306,734.0478068
2,YA,rand_ns,902.3853933,939.1443331,865.6264534
3,YA,rand_ns,1034.027591,1086.563152,981.4920289
4,YA,rand_ns,1209.56495,1278.575278,1140.554622
5,YA,rand_ns,1501.157647,1593.542504,1408.772789
6,YA,rand_ns,2240.01108,2413.230581,2066.791579
1,YA,rand_switch,900.9980138,944.2793492,857.7166785
2,YA,rand_switch,1091.245818,1146.705041,1035.786594
3,YA,rand_switch,1251.001654,1318.835523,1183.167785
4,YA,rand_switch,1443.233427,1525.642343,1360.82451
5,YA,rand_switch,1725.041011,1829.685325,1620.396698
6,YA,rand_switch,2385.163077,2556.125886,2214.200269
1,MCI,alt_ns,1124.719612,1259.675463,989.7637617
2,MCI,alt_ns,1448.600885,1646.538905,1250.662865
3,MCI,alt_ns,1751.897924,2016.696416,1487.099433
4,MCI,alt_ns,2118.125351,2454.828945,1781.421757
5,MCI,alt_ns,2553.840965,2967.349553,2140.332376
6,MCI,alt_ns,3683.087729,4202.016902,3164.158556
1,MCI,alt_switch,1262.60029,1417.380231,1107.820349
2,MCI,alt_switch,1639.352701,1879.582673,1399.12273
3,MCI,alt_switch,1925.593651,2251.041421,1600.145881
4,MCI,alt_switch,2252.308333,2654.996477,1849.62019
5,MCI,alt_switch,2701.857814,3192.636669,2211.078959
6,MCI,alt_switch,3663.370147,4247.265638,3079.474655
1,MCI,pure,657.6032049,717.4568199,597.7495899
2,MCI,pure,782.1903678,861.5280192,702.8527164
3,MCI,pure,893.2272977,991.9660237,794.4885716
4,MCI,pure,1023.75874,1150.731031,896.7864493
5,MCI,pure,1297.266827,1510.232618,1084.301035
6,MCI,pure,2259.874919,2636.930008,1882.81983
1,MCI,rand_ns,1040.812661,1151.166048,930.4592736
2,MCI,rand_ns,1288.511981,1441.199763,1135.824199
3,MCI,rand_ns,1525.936279,1724.144573,1327.727985
4,MCI,rand_ns,1802.428144,2054.672994,1550.183294
5,MCI,rand_ns,2238.921459,2555.724828,1922.11809
6,MCI,rand_ns,3453.870055,3882.062378,3025.677732
1,MCI,rand_switch,1186.31321,1327.475367,1045.151054
2,MCI,rand_switch,1511.447665,1706.555706,1316.339623
3,MCI,rand_switch,1803.208226,2049.359965,1557.056488
4,MCI,rand_switch,2082.737927,2377.868674,1787.60718
5,MCI,rand_switch,2512.634692,2887.240129,2138.029254
6,MCI,rand_switch,3551.847863,4053.458203,3050.237524
1,Healthy,alt_ns,1180.684119,1342.464769,1018.903469
2,Healthy,alt_ns,1462.564352,1693.704615,1231.424088
3,Healthy,alt_ns,1709.361318,1967.7042,1451.018436
4,Healthy,alt_ns,2001.349371,2286.838968,1715.859773
5,Healthy,alt_ns,2465.311826,2784.94497,2145.678682
6,Healthy,alt_ns,3709.622937,4069.94064,3349.305234
1,Healthy,alt_switch,1317.681327,1467.093908,1168.268747
2,Healthy,alt_switch,1631.720525,1830.317497,1433.123552
3,Healthy,alt_switch,1867.027319,2086.871115,1647.183522
4,Healthy,alt_switch,2124.763056,2394.84984,1854.676273
5,Healthy,alt_switch,2493.278428,2803.266775,2183.29008
6,Healthy,alt_switch,3547.340826,3915.141211,3179.540441
1,Healthy,pure,581.282273,619.312403,543.2521431
2,Healthy,pure,677.5939179,724.4642013,630.7236346
3,Healthy,pure,758.8829742,817.5516512,700.2142972
4,Healthy,pure,863.7689206,941.9025796,785.6352615
5,Healthy,pure,1036.944957,1143.31204,930.5778739
6,Healthy,pure,1822.794368,2033.47099,1612.117745
1,Healthy,rand_ns,1077.743133,1170.725761,984.760504
2,Healthy,rand_ns,1350.012037,1510.232643,1189.791431
3,Healthy,rand_ns,1593.141797,1796.294955,1389.988638
4,Healthy,rand_ns,1911.834953,2167.41747,1656.252435
5,Healthy,rand_ns,2359.724392,2653.541083,2065.907701
6,Healthy,rand_ns,3566.61101,3914.447472,3218.774549
1,Healthy,rand_switch,1359.552642,1518.695909,1200.409376
2,Healthy,rand_switch,1696.626323,1910.042492,1483.210153
3,Healthy,rand_switch,1944.792167,2182.619273,1706.96506
4,Healthy,rand_switch,2212.12743,2476.275778,1947.979082
5,Healthy,rand_switch,2628.972133,2936.518641,2321.425626
6,Healthy,rand_switch,3598.880123,3926.069563,3271.690682
