Group,bin,Trial Type,Average,Upper,Lower
YA,1,Alt_Global,329.9150562,354.3120119,305.5181004
YA,2,Alt_Global,424.8188335,458.7536357,390.8840314
YA,3,Alt_Global,535.5674839,582.4803642,488.6546035
YA,4,Alt_Global,666.915373,727.3739845,606.4567615
YA,5,Alt_Global,864.0417098,942.5008965,785.5825231
YA,6,Alt_Global,1157.498571,1274.674216,1040.322927
YA,1,Alt_Local,90.83422345,111.6222285,70.04621845
YA,2,Alt_Local,114.499621,140.8699938,88.12924826
YA,3,Alt_Local,105.9635188,138.6446834,73.28235426
YA,4,Alt_Local,96.26936865,139.6349134,52.9038239
YA,5,Alt_Local,88.10144908,149.1010255,27.10187271
YA,6,Alt_Local,29.70239433,109.8172091,-50.41242048
YA,1,Rand_Global,304.9590353,323.4052159,286.5128547
YA,2,Rand_Global,383.0841581,412.6342558,353.5340605
YA,3,Rand_Global,464.1042192,507.9931354,420.215303
YA,4,Rand_Global,577.4092869,633.4007722,521.4178015
YA,5,Rand_Global,767.7859045,837.6594935,697.9123156
YA,6,Rand_Global,1076.959995,1191.554618,962.3653709
YA,1,Rand_Local,142.8129951,170.5838811,115.0421091
YA,2,Rand_Local,188.8604245,215.9707933,161.7500556
YA,3,Rand_Local,216.9740637,246.6138014,187.3343259
YA,4,Rand_Local,233.6684769,268.9724226,198.3645312
YA,5,Rand_Local,223.8833645,270.261652,177.5050771
YA,6,Rand_Local,145.1519975,211.5057911,78.79820393
MCI,1,Alt_Global,467.1164074,604.4244776,329.8083373
MCI,2,Alt_Global,666.4105174,862.7465051,470.0745298
MCI,3,Alt_Global,858.6706266,1118.732787,598.6084667
MCI,4,Alt_Global,1094.366611,1422.420367,766.3128542
MCI,5,Alt_Global,1256.574138,1652.075644,861.0726315
MCI,6,Alt_Global,1423.21281,1926.477681,919.9479396
MCI,1,Alt_Local,137.8806777,190.0592013,85.70215398
MCI,2,Alt_Local,190.7518162,295.9532007,85.55043176
MCI,3,Alt_Local,173.6957265,300.9578757,46.43357733
MCI,4,Alt_Local,134.1829823,286.917961,-18.55199642
MCI,5,Alt_Local,148.0168498,330.4085499,-34.37485025
MCI,6,Alt_Local,-19.71758242,240.8574544,-280.2926192
MCI,1,Rand_Global,383.2094561,497.5281681,268.890744
MCI,2,Rand_Global,506.3216133,664.5933281,348.0498985
MCI,3,Rand_Global,632.7089813,837.6259622,427.7920005
MCI,4,Rand_Global,778.6694038,1037.468002,519.8708054
MCI,5,Rand_Global,941.6546322,1265.495574,617.8136907
MCI,6,Rand_Global,1193.995136,1621.893888,766.0963842
MCI,1,Rand_Local,145.5005495,220.4186863,70.5824126
MCI,2,Rand_Local,222.9356838,314.3486179,131.5227496
MCI,3,Rand_Local,277.2719475,389.0951198,165.4487752
MCI,4,Rand_Local,280.3097833,415.9146578,144.7049088
MCI,5,Rand_Local,273.7132326,431.9051122,115.521353
MCI,6,Rand_Local,97.9778083,330.7030341,-134.7474175
Healthy,1,Alt_Global,599.4018459,744.2913913,454.5123006
Healthy,2,Alt_Global,784.9704339,996.1051782,573.8356897
Healthy,3,Alt_Global,950.4783441,1179.448203,721.508485
Healthy,4,Alt_Global,1137.58045,1378.536141,896.6247591
Healthy,5,Alt_Global,1428.366869,1690.010752,1166.722986
Healthy,6,Alt_Global,1886.828569,2182.092757,1591.564382
Healthy,1,Alt_Local,136.9972082,189.486036,84.50838041
Healthy,2,Alt_Local,169.1561728,241.5942595,96.7180862
Healthy,3,Alt_Local,157.6660006,233.3080809,82.02392044
Healthy,4,Alt_Local,123.4136858,193.6636386,53.16373306
Healthy,5,Alt_Local,27.96660169,130.3377787,-74.40457532
Healthy,6,Alt_Local,-162.2821109,15.11941465,-339.6836365
Healthy,1,Rand_Global,496.4608597,567.4765825,425.4451369
Healthy,2,Rand_Global,672.4181191,809.7082077,535.1280305
Healthy,3,Rand_Global,834.2588225,1010.13856,658.3790846
Healthy,4,Rand_Global,1048.066032,1265.523747,830.6083175
Healthy,5,Rand_Global,1322.779435,1564.443416,1081.115454
Healthy,6,Rand_Global,1743.816643,2031.308874,1456.324411
Healthy,1,Rand_Local,281.8095098,363.5216263,200.0973932
Healthy,2,Rand_Local,346.6142857,430.5610649,262.6675065
Healthy,3,Rand_Local,351.6503701,445.3937205,257.9070198
Healthy,4,Rand_Local,300.2924777,405.2178963,195.3670592
Healthy,5,Rand_Local,269.2477415,400.7386687,137.7568143
Healthy,6,Rand_Local,32.2691126,213.4878561,-148.9496309
